STEP,POPULATION,HEALTHY,SOCIAL D HEALTHY,NOT SOCIAL D HEALTHY,INFECTED,SOCIAL D INFECTED,NOT SOCIAL D INFECTED,DEATHS FROM INFECTION,DEATHS SOCIAL D,DEATHS NOT SOCIAL D
1,15033,15012,7570,7442,21,8,13,0,0,0
2,15033,15003,7570,7433,30,8,22,0,0,0
3,15033,14991,7570,7421,42,8,34,0,0,0
4,15033,14977,7570,7407,56,8,48,0,0,0
5,15031,14962,7570,7392,69,8,61,2,0,2
6,15031,14948,7570,7378,83,8,75,2,0,2
7,15031,14914,7570,7344,117,8,109,2,0,2
8,15030,14881,7570,7311,149,8,141,3,0,3
9,15030,14860,7570,7290,170,8,162,3,0,3
10,15030,14823,7570,7253,207,8,199,3,0,3
11,15030,14793,7570,7223,237,8,229,3,0,3
12,15030,14758,7569,7189,272,9,263,3,0,3
13,15030,14728,7569,7159,302,9,293,3,0,3
14,15029,14690,7569,7121,339,9,330,4,0,4
15,15028,14655,7569,7086,373,8,365,5,1,4
16,15026,14617,7569,7048,409,8,401,7,1,6
17,15025,14576,7569,7007,449,8,441,8,1,7
18,15025,14541,7569,6972,484,8,476,8,1,7
19,15024,14500,7569,6931,524,8,516,9,1,8
20,15023,14469,7569,6900,554,8,546,10,1,9
21,15022,14438,7569,6869,584,8,576,11,1,10
22,15020,14400,7570,6830,620,7,613,13,1,12
23,15020,14360,7570,6790,660,7,653,13,1,12
24,15020,14304,7570,6734,716,7,709,13,1,12
25,15020,14257,7569,6688,763,8,755,13,1,12
26,15020,14212,7570,6642,808,7,801,13,1,12
27,15016,14163,7572,6591,853,5,848,17,1,16
28,15016,14097,7575,6522,919,2,917,17,1,16
29,15014,14038,7575,6463,976,2,974,19,1,18
30,15011,13980,7575,6405,1031,2,1029,22,1,21
31,15010,13905,7574,6331,1105,3,1102,23,1,22
32,15007,13840,7574,6266,1167,3,1164,26,1,25
33,15004,13789,7574,6215,1215,3,1212,29,1,28
34,15001,13714,7574,6140,1287,3,1284,32,1,31
35,15001,13657,7574,6083,1344,3,1341,32,1,31
36,15001,13593,7574,6019,1408,3,1405,32,1,31
37,15001,13515,7574,5941,1486,3,1483,32,1,31
38,15000,13449,7573,5876,1551,4,1547,33,1,32
39,14999,13377,7573,5804,1622,4,1618,34,1,33
40,14995,13300,7572,5728,1695,5,1690,38,1,37
41,14994,13212,7571,5641,1782,6,1776,39,1,38
42,14992,13141,7571,5570,1851,6,1845,41,1,40
43,14990,13034,7571,5463,1956,6,1950,43,1,42
44,14986,12958,7571,5387,2028,6,2022,47,1,46
45,14984,12894,7570,5324,2090,7,2083,49,1,48
46,14982,12824,7568,5256,2158,9,2149,51,1,50
47,14979,12753,7568,5185,2226,9,2217,54,1,53
48,14972,12657,7567,5090,2315,10,2305,61,1,60
49,14971,12555,7566,4989,2416,11,2405,62,1,61
50,14967,12465,7566,4899,2502,10,2492,66,2,64
51,14965,12381,7567,4814,2584,9,2575,68,2,66
52,14961,12312,7566,4746,2649,10,2639,72,2,70
53,14958,12227,7566,4661,2731,10,2721,75,2,73
54,14953,12136,7565,4571,2817,11,2806,80,2,78
55,14952,12067,7564,4503,2885,12,2873,81,2,79
56,14946,11992,7564,4428,2954,12,2942,87,2,85
57,14941,11912,7565,4347,3029,11,3018,92,2,90
58,14930,11826,7565,4261,3104,11,3093,103,2,101
59,14928,11727,7564,4163,3201,12,3189,105,2,103
60,14921,11661,7563,4098,3260,13,3247,112,2,110
61,14916,11574,7562,4012,3342,14,3328,117,2,115
62,14904,11484,7561,3923,3420,15,3405,129,2,127
63,14900,11386,7561,3825,3514,15,3499,133,2,131
64,14897,11287,7561,3726,3610,15,3595,136,2,134
65,14894,11198,7560,3638,3696,16,3680,139,2,137
66,14889,11107,7561,3546,3782,15,3767,144,2,142
67,14885,11052,7563,3489,3833,13,3820,148,2,146
68,14880,10959,7562,3397,3921,14,3907,153,2,151
69,14876,10883,7562,3321,3993,14,3979,157,2,155
70,14868,10831,7563,3268,4037,13,4024,165,2,163
71,14865,10776,7563,3213,4089,13,4076,168,2,166
72,14863,10697,7561,3136,4166,15,4151,170,2,168
73,14859,10626,7562,3064,4233,14,4219,174,2,172
74,14852,10541,7562,2979,4311,14,4297,181,2,179
75,14847,10479,7562,2917,4368,14,4354,186,2,184
76,14842,10392,7561,2831,4450,15,4435,191,2,189
77,14837,10326,7560,2766,4511,16,4495,196,2,194
78,14829,10263,7558,2705,4566,18,4548,204,2,202
79,14823,10205,7557,2648,4618,19,4599,210,2,208
80,14817,10142,7557,2585,4675,19,4656,216,2,214
81,14812,10092,7557,2535,4720,19,4701,221,2,219
82,14806,10023,7557,2466,4783,19,4764,227,2,225
83,14801,9948,7555,2393,4853,21,4832,232,2,230
84,14792,9882,7556,2326,4910,20,4890,241,2,239
85,14782,9839,7555,2284,4943,21,4922,251,2,249
86,14774,9772,7556,2216,5002,20,4982,259,2,257
87,14763,9754,7555,2199,5009,20,4989,270,3,267
88,14754,9677,7554,2123,5077,21,5056,279,3,276
89,14743,9615,7553,2062,5128,22,5106,290,3,287
90,14740,9587,7552,2035,5153,23,5130,293,3,290
91,14729,9571,7552,2019,5158,23,5135,304,3,301
92,14716,9553,7552,2001,5163,23,5140,317,3,314
93,14705,9508,7551,1957,5197,24,5173,328,3,325
94,14690,9455,7552,1903,5235,23,5212,343,3,340
95,14681,9431,7552,1879,5250,23,5227,352,3,349
96,14671,9383,7551,1832,5288,24,5264,362,3,359
97,14668,9326,7550,1776,5342,25,5317,365,3,362
98,14662,9300,7550,1750,5362,25,5337,371,3,368
99,14656,9253,7549,1704,5403,26,5377,377,3,374
100,14647,9227,7549,1678,5420,26,5394,386,3,383
101,14642,9165,7547,1618,5477,28,5449,391,3,388
102,14630,9126,7544,1582,5504,31,5473,403,3,400
103,14618,9097,7545,1552,5521,30,5491,415,3,412
104,14609,9053,7546,1507,5556,29,5527,424,3,421
105,14597,9026,7545,1481,5571,30,5541,436,3,433
106,14585,9021,7546,1475,5564,29,5535,448,3,445
107,14575,9019,7548,1471,5556,27,5529,458,3,455
108,14567,9005,7548,1457,5562,27,5535,466,3,463
109,14558,8980,7549,1431,5578,25,5553,475,4,471
110,14553,8948,7549,1399,5605,25,5580,480,4,476
111,14548,8894,7549,1345,5654,25,5629,485,4,481
