STEP,POPULATION,HEALTHY,SOCIAL D HEALTHY,NOT SOCIAL D HEALTHY,INFECTED,SOCIAL D INFECTED,NOT SOCIAL D INFECTED,DEATHS FROM INFECTION,DEATHS SOCIAL D,DEATHS NOT SOCIAL D
1,15079,15006,0,15006,73,0,73,0,0,0
2,15079,14925,0,14925,154,0,154,0,0,0
3,15079,14780,0,14780,299,0,299,0,0,0
4,15078,14622,0,14622,456,0,456,1,0,1
5,15075,14367,0,14367,708,0,708,4,0,4
6,15075,14017,0,14017,1058,0,1058,4,0,4
7,15075,13665,0,13665,1410,0,1410,4,0,4
8,15070,13270,0,13270,1800,0,1800,9,0,9
9,15069,12741,0,12741,2328,0,2328,10,0,10
10,15063,12195,0,12195,2868,0,2868,16,0,16
11,15059,11593,0,11593,3466,0,3466,20,0,20
12,15055,10916,0,10916,4139,0,4139,24,0,24
13,15051,10223,0,10223,4828,0,4828,28,0,28
14,15047,9544,0,9544,5503,0,5503,32,0,32
15,15041,8755,0,8755,6286,0,6286,38,0,38
16,15027,8025,0,8025,7002,0,7002,52,0,52
17,15015,7368,0,7368,7647,0,7647,64,0,64
18,15002,6683,0,6683,8319,0,8319,77,0,77
19,14989,6009,0,6009,8980,0,8980,90,0,90
20,14969,5394,0,5394,9575,0,9575,110,0,110
21,14955,4829,0,4829,10126,0,10126,124,0,124
22,14941,4260,0,4260,10681,0,10681,138,0,138
23,14922,3806,0,3806,11116,0,11116,157,0,157
24,14903,3405,0,3405,11498,0,11498,176,0,176
25,14887,3006,0,3006,11881,0,11881,192,0,192
26,14867,2701,0,2701,12166,0,12166,212,0,212
27,14849,2419,0,2419,12430,0,12430,230,0,230
28,14829,2151,0,2151,12678,0,12678,250,0,250
29,14816,1932,0,1932,12884,0,12884,263,0,263
30,14794,1738,0,1738,13056,0,13056,285,0,285
31,14775,1573,0,1573,13202,0,13202,304,0,304
32,14752,1462,0,1462,13290,0,13290,327,0,327
33,14729,1346,0,1346,13383,0,13383,350,0,350
34,14709,1238,0,1238,13471,0,13471,370,0,370
35,14698,1135,0,1135,13563,0,13563,381,0,381
36,14682,1060,0,1060,13622,0,13622,397,0,397
37,14655,997,0,997,13658,0,13658,424,0,424
38,14637,925,0,925,13712,0,13712,442,0,442
39,14623,878,0,878,13745,0,13745,456,0,456
40,14599,830,0,830,13769,0,13769,480,0,480
41,14576,787,0,787,13789,0,13789,503,0,503
42,14546,724,0,724,13822,0,13822,533,0,533
43,14523,628,0,628,13895,0,13895,556,0,556
44,14503,598,0,598,13905,0,13905,576,0,576
45,14488,525,0,525,13963,0,13963,591,0,591
46,14472,476,0,476,13996,0,13996,607,0,607
47,14449,448,0,448,14001,0,14001,630,0,630
48,14430,427,0,427,14003,0,14003,649,0,649
49,14407,388,0,388,14019,0,14019,672,0,672
50,14387,349,0,349,14038,0,14038,692,0,692
51,14367,312,0,312,14055,0,14055,712,0,712
52,14342,294,0,294,14048,0,14048,737,0,737
53,14324,270,0,270,14054,0,14054,755,0,755
54,14306,230,0,230,14076,0,14076,773,0,773
55,14285,200,0,200,14085,0,14085,794,0,794
56,14266,184,0,184,14082,0,14082,813,0,813
57,14252,167,0,167,14085,0,14085,827,0,827
58,14232,158,0,158,14074,0,14074,847,0,847
59,14210,148,0,148,14062,0,14062,869,0,869
60,14186,151,0,151,14035,0,14035,893,0,893
61,14170,144,0,144,14026,0,14026,909,0,909
62,14146,126,0,126,14020,0,14020,933,0,933
63,14128,135,0,135,13993,0,13993,951,0,951
64,14112,119,0,119,13993,0,13993,967,0,967
65,14097,113,0,113,13984,0,13984,982,0,982
66,14078,132,0,132,13946,0,13946,1001,0,1001
67,14061,135,0,135,13926,0,13926,1018,0,1018
68,14041,136,0,136,13905,0,13905,1038,0,1038
69,14022,152,0,152,13870,0,13870,1057,0,1057
70,13995,165,0,165,13830,0,13830,1084,0,1084
71,13970,136,0,136,13834,0,13834,1109,0,1109
72,13943,141,0,141,13802,0,13802,1136,0,1136
73,13925,147,0,147,13778,0,13778,1154,0,1154
74,13917,141,0,141,13776,0,13776,1162,0,1162
75,13895,169,0,169,13726,0,13726,1184,0,1184
76,13881,159,0,159,13722,0,13722,1198,0,1198
77,13862,166,0,166,13696,0,13696,1217,0,1217
78,13844,169,0,169,13675,0,13675,1235,0,1235
79,13824,147,0,147,13677,0,13677,1255,0,1255
80,13805,147,0,147,13658,0,13658,1274,0,1274
81,13781,145,0,145,13636,0,13636,1298,0,1298
82,13765,138,0,138,13627,0,13627,1314,0,1314
83,13748,126,0,126,13622,0,13622,1331,0,1331
84,13734,152,0,152,13582,0,13582,1345,0,1345
85,13718,155,0,155,13563,0,13563,1361,0,1361
86,13702,158,0,158,13544,0,13544,1377,0,1377
87,13686,157,0,157,13529,0,13529,1393,0,1393
88,13664,153,0,153,13511,0,13511,1415,0,1415
89,13643,163,0,163,13480,0,13480,1436,0,1436
90,13619,168,0,168,13451,0,13451,1460,0,1460
91,13609,145,0,145,13464,0,13464,1470,0,1470
92,13597,145,0,145,13452,0,13452,1482,0,1482
93,13578,141,0,141,13437,0,13437,1501,0,1501
94,13562,143,0,143,13419,0,13419,1517,0,1517
95,13547,143,0,143,13404,0,13404,1532,0,1532
96,13530,135,0,135,13395,0,13395,1549,0,1549
97,13513,141,0,141,13372,0,13372,1566,0,1566
98,13490,140,0,140,13350,0,13350,1589,0,1589
99,13477,141,0,141,13336,0,13336,1602,0,1602
100,13462,158,0,158,13304,0,13304,1617,0,1617
101,13445,190,0,190,13255,0,13255,1634,0,1634
102,13431,162,0,162,13269,0,13269,1648,0,1648
103,13410,148,0,148,13262,0,13262,1669,0,1669
104,13400,160,0,160,13240,0,13240,1679,0,1679
105,13383,159,0,159,13224,0,13224,1696,0,1696
106,13368,153,0,153,13215,0,13215,1711,0,1711
107,13344,141,0,141,13203,0,13203,1735,0,1735
108,13327,115,0,115,13212,0,13212,1752,0,1752
109,13312,131,0,131,13181,0,13181,1767,0,1767
110,13293,141,0,141,13152,0,13152,1786,0,1786
111,13289,150,0,150,13139,0,13139,1790,0,1790
112,13271,154,0,154,13117,0,13117,1808,0,1808
113,13253,147,0,147,13106,0,13106,1826,0,1826
114,13233,159,0,159,13074,0,13074,1846,0,1846
115,13216,166,0,166,13050,0,13050,1863,0,1863
116,13203,151,0,151,13052,0,13052,1876,0,1876
117,13188,155,0,155,13033,0,13033,1891,0,1891
118,13170,150,0,150,13020,0,13020,1909,0,1909
119,13157,165,0,165,12992,0,12992,1922,0,1922
120,13142,149,0,149,12993,0,12993,1937,0,1937
121,13119,159,0,159,12960,0,12960,1960,0,1960
122,13103,161,0,161,12942,0,12942,1976,0,1976
123,13088,149,0,149,12939,0,12939,1991,0,1991
124,13079,168,0,168,12911,0,12911,2000,0,2000
125,13068,162,0,162,12906,0,12906,2011,0,2011
126,13049,189,0,189,12860,0,12860,2030,0,2030
127,13034,185,0,185,12849,0,12849,2045,0,2045
128,13023,164,0,164,12859,0,12859,2056,0,2056
129,13011,157,0,157,12854,0,12854,2068,0,2068
130,12985,182,0,182,12803,0,12803,2094,0,2094
131,12970,170,0,170,12800,0,12800,2109,0,2109
132,12956,151,0,151,12805,0,12805,2123,0,2123
133,12946,146,0,146,12800,0,12800,2133,0,2133
134,12933,157,0,157,12776,0,12776,2146,0,2146
135,12918,144,0,144,12774,0,12774,2161,0,2161
136,12897,170,0,170,12727,0,12727,2182,0,2182
137,12871,172,0,172,12699,0,12699,2208,0,2208
138,12851,178,0,178,12673,0,12673,2228,0,2228
139,12833,201,0,201,12632,0,12632,2246,0,2246
140,12811,194,0,194,12617,0,12617,2268,0,2268
141,12794,180,0,180,12614,0,12614,2285,0,2285
142,12777,189,0,189,12588,0,12588,2302,0,2302
143,12762,159,0,159,12603,0,12603,2317,0,2317
144,12750,167,0,167,12583,0,12583,2329,0,2329
145,12728,190,0,190,12538,0,12538,2351,0,2351
146,12713,188,0,188,12525,0,12525,2366,0,2366
147,12697,187,0,187,12510,0,12510,2382,0,2382
148,12689,191,0,191,12498,0,12498,2390,0,2390
149,12669,182,0,182,12487,0,12487,2410,0,2410
150,12651,173,0,173,12478,0,12478,2428,0,2428
151,12631,172,0,172,12459,0,12459,2448,0,2448
152,12624,182,0,182,12442,0,12442,2455,0,2455
153,12608,177,0,177,12431,0,12431,2471,0,2471
154,12595,191,0,191,12404,0,12404,2484,0,2484
155,12582,166,0,166,12416,0,12416,2497,0,2497
156,12563,170,0,170,12393,0,12393,2516,0,2516
157,12544,155,0,155,12389,0,12389,2535,0,2535
158,12528,178,0,178,12350,0,12350,2551,0,2551
