STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
1,15131,15094,7557,7537,37,9,28,0,0,0
2,15131,15067,7557,7510,64,9,55,0,0,0
3,15131,15036,7557,7479,95,9,86,0,0,0
4,15131,15014,7557,7457,117,9,108,0,0,0
5,15131,14984,7557,7427,147,9,138,0,0,0
6,15130,14958,7557,7401,172,9,163,1,0,1
7,15130,14928,7557,7371,202,9,193,1,0,1
8,15130,14899,7557,7342,231,9,222,1,0,1
9,15130,14860,7556,7304,270,10,260,1,0,1
10,15130,14820,7556,7264,310,10,300,1,0,1
11,15130,14783,7556,7227,347,10,337,1,0,1
12,15128,14747,7556,7191,381,10,371,3,0,3
13,15126,14696,7556,7140,430,10,420,5,0,5
14,15125,14649,7556,7093,476,10,466,6,0,6
15,15124,14593,7555,7038,531,11,520,7,0,7
16,15123,14539,7555,6984,584,11,573,8,0,8
17,15121,14464,7554,6910,657,12,645,10,0,10
18,15120,14391,7554,6837,729,12,717,11,0,11
19,15119,14312,7554,6758,807,12,795,12,0,12
20,15117,14236,7554,6682,881,12,869,14,0,14
21,15116,14155,7555,6600,961,11,950,15,0,15
22,15115,14081,7553,6528,1034,13,1021,16,0,16
23,15113,14009,7552,6457,1104,14,1090,18,0,18
24,15113,13936,7553,6383,1177,13,1164,18,0,18
25,15111,13861,7552,6309,1250,14,1236,20,0,20
26,15107,13785,7554,6231,1322,12,1310,24,0,24
27,15105,13729,7554,6175,1376,12,1364,26,0,26
28,15103,13671,7556,6115,1432,10,1422,28,0,28
29,15100,13609,7557,6052,1491,9,1482,31,0,31
30,15097,13537,7555,5982,1560,11,1549,34,0,34
31,15096,13456,7554,5902,1640,12,1628,35,0,35
32,15092,13391,7553,5838,1701,13,1688,39,0,39
33,15090,13321,7552,5769,1769,14,1755,41,0,41
34,15087,13201,7553,5648,1886,13,1873,44,0,44
35,15085,13116,7552,5564,1969,14,1955,46,0,46
36,15082,13026,7552,5474,2056,14,2042,49,0,49
37,15078,12940,7552,5388,2138,14,2124,53,0,53
38,15074,12843,7551,5292,2231,15,2216,57,0,57
39,15072,12747,7550,5197,2325,16,2309,59,0,59
40,15071,12672,7551,5121,2399,15,2384,60,0,60
41,15067,12602,7551,5051,2465,15,2450,64,0,64
42,15063,12495,7550,4945,2568,16,2552,68,0,68
43,15056,12417,7550,4867,2639,16,2623,75,0,75
44,15054,12309,7551,4758,2745,15,2730,77,0,77
45,15049,12226,7552,4674,2823,14,2809,82,0,82
46,15045,12149,7552,4597,2896,14,2882,86,0,86
47,15043,12076,7552,4524,2967,14,2953,88,0,88
48,15037,12012,7551,4461,3025,15,3010,94,0,94
49,15030,11929,7550,4379,3101,16,3085,101,0,101
50,15026,11845,7549,4296,3181,16,3165,105,1,104
51,15020,11726,7549,4177,3294,16,3278,111,1,110
52,15018,11636,7550,4086,3382,15,3367,113,1,112
53,15014,11559,7548,4011,3455,17,3438,117,1,116
